.activated,Soundpack\Pals\neuron activated.mp3,0.5,1.3
.deactivated,Soundpack\Pals\neuron deactivated.mp3,0.5,1.3
.nroom,Soundpack\Pals\NROOOM.mp3,1.0,0.6
.asshole,Soundpack\Pals\pluto's asshole.mp3,0.35,2.1
.rinkarigani,Soundpack\Pals\rin karigani I love you.mp3,0.6,3.4
.sugma,Soundpack\Pals\sugma.mp3,0.4,3.3
.vouch,Soundpack\Pals\VOUCH FOR ME.mp3,0.5,0.8
.yeowch,Soundpack\Pals\YEOWCH.mp3,1.0,0.6
.alpha,Soundpack\Pals\alpha is crushing my nuts.mp3,1.0,4.4
.backshots,Soundpack\Pals\back shots.mp3,1.0,1.9
.berzerking,Soundpack\Pals\berzerking.mp3,0.5,9.5
.bro,Soundpack\Pals\bro.mp3,0.4,1.1
.cum,Soundpack\Pals\chug in the cum bro.mp3,0.25,1.7
.cliff,Soundpack\Pals\cliff.mp3,0.4,1.6
.content,Soundpack\Pals\content is content.mp3,0.7,1.2
.doomah,Soundpack\Pals\doomah backwards.mp3,0.25,5.5
.fallout,Soundpack\Pals\fallout_jalen.mp3,0.3,3.7
.googoo,Soundpack\Pals\goo goo gaga damage.mp3,0.35,1.8
.greasy,Soundpack\Pals\greasy gunky gamer.mp3,1.0,1.9
.gunky,Soundpack\Pals\greasy gunky gamer.mp3,1.0,1.9
.gamer,Soundpack\Pals\greasy gunky gamer.mp3,1.0,1.9
.hot,Soundpack\Pals\hot.mp3,0.7,4.1
.cleave,Soundpack\Pals\I will not cleave the party.mp3,0.5,1.7
.letsgo,Soundpack\Pals\lets go babyyyyyyyyyyyyyyyyyyyyy.mp3,0.6,6.1
.listen,Soundpack\Pals\listen.mp3,0.8,0.6
.mario,Soundpack\Pals\mario.mp3,0.6,1.3
.mercenaries,Soundpack\Pals\mercenaries.mp3,0.4,1.6
.monke,Soundpack\Pals\monkE.mp3,0.5,2.5
.noustfu,Soundpack\Pals\noustfu.mp3,1.0,1.0
.nyoam,Soundpack\Pals\nyooammmm.mp3,0.25,1.1
.penis,Soundpack\Pals\penis pluto.mp3,0.8,1.3
.punish,Soundpack\Pals\punish me.mp3,0.4,3.9
.riding,Soundpack\Pals\riding my nuts.mp3,0.8,1.0
.michael,Soundpack\Pals\stfu.mp3,0.8,2.2
.whoa,Soundpack\Pals\whoa.mp3,0.7,0.9
.smash,Soundpack\Pals\smash.mp3,1.0,3.3
.gigashit,Soundpack\Pals\gigashit fart per second.mp3,0.7,4.1
.aboot,Soundpack\Pals\aboot.mp3,1.0,0.9
.ankles,Soundpack\Pals\ankles.mp3,0.8,1.3
.baka,Soundpack\Pals\baka.mp3,0.8,1.2
.cover,Soundpack\Pals\cover.mp3,0.5,1.4
.dms,Soundpack\Pals\dms.mp3,0.4,4.5
.elope,Soundpack\Pals\elope.mp3,0.5,1.7
.fingers,Soundpack\Pals\fingers.mp3,0.9,1.8
.flameshot,Soundpack\Pals\flameshot.mp3,0.2,16.4
.gift,Soundpack\Pals\gift.mp3,0.5,0.7
.go,Soundpack\Pals\go.mp3,0.2,2.0
.goblin,Soundpack\Pals\goblin.mp3,0.5,1.0
.going,Soundpack\Pals\goingin.mp3,0.2,2.1
.hand,Soundpack\Pals\hand.mp3,0.4,1.3
.healer,Soundpack\Pals\healer.mp3,0.6,1.6
.help,Soundpack\Pals\HELP.mp3,0.15,3.2
.hurricane,Soundpack\Pals\hurricane.mp3,0.8,3.4
.knew,Soundpack\Pals\I KNEW IT.mp3,0.5,1.5
.insides,Soundpack\Pals\insides.mp3,0.8,1.5
.trap,Soundpack\Pals\it's a trap.mp3,0.5,1.9
.kid,Soundpack\Pals\kid.mp3,0.8,1.0
.lfg,Soundpack\Pals\LFG.mp3,0.4,2.6
.lose,Soundpack\Pals\lose.mp3,0.8,3.1
.engage,Soundpack\Pals\microeienwave engage.mp3,0.5,1.2
.cd,Soundpack\Pals\microeienwave.mp3,0.5,3.5
.countdown,Soundpack\Pals\microeienwave.mp3,0.5,3.5
.notagain,Soundpack\Pals\not again.mp3,0.5,3.3
.phasmo,Soundpack\Pals\OH FUCK.mp3,0.2,0.9
.famo,Soundpack\Pals\OH FUCK.mp3,0.2,0.9
.power,Soundpack\Pals\power.mp3,0.4,0.9
.raidlead,Soundpack\Pals\raidlead.mp3,0.5,3.1
.taako,Soundpack\Pals\raidlead.mp3,0.5,3.1
.hello,Soundpack\Pals\ryan hello.mp3,0.5,0.6
.shirk,Soundpack\Pals\S H I R K.mp3,0.4,1.0
.sexy,Soundpack\Pals\sexy.mp3,0.5,1.8
.stream,Soundpack\Pals\stream.mp3,0.8,0.7
.think,Soundpack\Pals\think.mp3,0.8,4.3
.twister,Soundpack\Pals\twister.mp3,0.5,0.7
.wtf,Soundpack\Pals\w t f.mp3,1.0,1.5
.creaming,Soundpack\Pals\creaming.mp3,0.8,1.2
.eating,Soundpack\Pals\eating.mp3,0.5,2.4
.sudoku,Soundpack\Pals\sudoku.mp3,0.6,3.3
.tb,Soundpack\Pals\tankbuster.mp3,0.8,1.5
.tankbuster,Soundpack\Pals\tankbuster.mp3,0.8,1.5
.yes,Soundpack\Pals\YES loud.mp3,0.08,2.4
.fellcleave,Soundpack\Pals\fell cleave.mp3,0.5,2.0
